id,length_bond,length_matdis,length_illparent,length_illchild,length_illspouse,length_own,unaffordable,prop_pay,take_bond,take_matdis,take_illparent,take_illchild,take_illspouse,take_own,emp_size,paid_hrly,nochildren,lnfaminc,faminc,lnearn,fem_cu6,fem_c617,fem_cu6and617,fem_nochild,age,a_age,widowed,divorced,hiemp,separated,nevermarried,male,female,agesq,ltHS,someCol,BA,GradSch,black,white,asian,other,hisp,OCC,occ_1,occ_2,occ_3,occ_4,occ_5,occ_6,occ_7,occ_8,occ_9,occ_10,ind_1,ind_2,ind_3,ind_4,ind_5,ind_6,ind_7,ind_8,ind_9,ind_10,ind_11,ind_12,ind_13,weeks_worked,WAGP,WKHP,PWGTP,FER,WKW,COW,ESR,partner,ndep_kid,ndep_old,empgov_fed,empgov_st,wkhours,empgov_loc,weeks_worked_cat,pay_schedule,total_length,total_leaves,exhausted_by,eligworker,benefit_prop,particip,orig_len_own,orig_len_illspouse,orig_len_illchild,orig_len_illparent,orig_len_matdis,orig_len_bond,longer_leave,extend_flag,fmla_constrain_flag,particip_length,plen_own,plen_illspouse,plen_illchild,plen_illparent,plen_matdis,plen_bond,DI_plen,PFL_plen,base_benefits,base_leave_pay,actual_leave_pay,actual_benefits,bene_effect_flg,topoff_flg,reduce,bene_own,bene_illspouse,bene_illchild,bene_illparent,bene_matdis,bene_bond
311,0,0,0,0,0,0,1,1,0,0,0,0,0,0,9907,0,0,NA,85000,11.32226733,NA,NA,NA,NA,35,35,0,0,1,0,1,1,0,1225,0,1,0,0,0,1,0,0,0,3255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52,85000,40,21,NA,1,1,1,0,0,0,0,0,40,0,51,"all pay, all weeks",0,0,NA,1,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,11.30326438,81085.90136,10.17545294,NA,NA,NA,NA,66,66,0,0,0,0,0,1,0,4356,0,1,0,0,0,0,1,0,0,430,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52,27000,40,18,NA,1,1,1,0,0,1,0,0,40,0,51,"all pay, all weeks",0,0,NA,1,0.55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,0,0,5,0,0,0,0,0,0,0,1,0,0,0,32,1,1,11.30326438,81085.90136,10.51192518,0,0,0,1,60,60,0,0,1,0,0,0,1,3600,1,0,0,0,0,0,1,0,0,8320,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52,37800,40,21,NA,1,1,1,0,0,1,0,0,40,0,51,no pay,5,1,NA,1,0.55,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,11.50458889,99169.80741,NA,NA,NA,NA,NA,38,38,0,0,1,0,0,1,0,1444,0,0,0,1,0,1,0,0,0,2600,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,52,0,35,9,NA,1,6,1,0,2,0,0,0,35,0,51,"all pay, all weeks",0,0,NA,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5533,0,0,11.50458889,99169.80741,11.46458355,1,0,0,0,37,37,0,0,1,0,0,0,1,1369,0,0,0,1,0,1,0,0,0,230,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52,98000,50,8,2,1,3,1,0,2,0,0,0,50,1,51,"all pay, all weeks",0,0,NA,1,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,0,0,0,0,0,30,1,1,0,0,0,0,0,1,438,0,1,11.69766108,120290.0373,10.74455638,NA,NA,NA,NA,46,46,0,0,1,0,0,1,0,2116,0,1,0,0,0,1,0,0,0,1050,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52,48000,40,27,NA,1,3,1,0,0,0,0,0,40,1,51,"all pay, all weeks",30,1,NA,1,0.55,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5538.461538,5538.461538,0,0,0,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5297,0,1,11.69766108,120290.0373,11.19084348,0,0,0,1,45,45,0,0,1,0,0,0,1,2025,0,0,0,1,0,1,0,0,0,2310,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52,75000,40,25,2,1,3,1,0,0,0,0,0,40,1,51,no pay,0,0,NA,1,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,0,0,0,36,0,0,1,1,0,0,0,1,0,0,5892,1,0,11.36423641,86183.70545,8.760425016,0,1,0,0,54,54,0,0,1,0,0,0,1,2916,0,1,0,0,0,1,0,0,0,4760,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40,6600,16,10,NA,3,1,1,0,1,0,0,0,16,0,43.5,"all pay, all weeks",36,1,NA,1,0.55,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188,1188,0,0,0,0,0,0,0,0,0,0
322,0,0,0,0,10,0,1,1,0,0,0,0,1,0,5879,1,0,11.36423641,86183.70545,11.19084348,NA,NA,NA,NA,59,59,0,0,1,0,0,1,0,3481,0,0,0,0,0,1,0,0,0,4320,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,52,75000,50,12,NA,1,1,1,0,1,0,0,0,50,0,51,"all pay, all weeks",10,1,NA,1,0.55,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2884.615385,2884.615385,0,0,0,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0.625,0,0,0,0,0,0,203,1,1,10.90049118,54202.98067,10.657545,NA,NA,NA,NA,53,53,0,0,1,0,0,1,0,2809,0,0,0,0,0,1,0,0,0,4220,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52,44000,40,19,NA,1,2,1,0,0,0,0,0,40,0,51,"some pay, all weeks",0,0,NA,1,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
